,index_left,N_,ENDERECO,BAIRRO,CIDADE,NUCLEO,PROTOCOLO,SECRETARIA,DATA,DATA_ATEND,HORA,FLAGRANTE,MODIFICADO,ORIGINAL,NATUREZA,date,score,hex,NOME,geometry
0,323.0,328.0,"R. FRANCISCO JOSÉ LOBO, 379",SÍTIO CERCADO,CURITIBA,Bairro Novo,21544/2009,SMDS,15-11-2009,2009-11-15,21:06:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,507.0,521.0,"R. LEONARDO ABAGGIO, 326",SÍTIO CERCADO,CURITIBA,Bairro Novo,18217/2012,SMDS,02-12-2012,2012-12-02,19:55:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,1523.0,1579.0,"R. DOS PIONEIROS, 1",TATUQUARA,CURITIBA,Tatuquara,02256/2011,SMDS,30-01-2011,2011-01-30,15:33:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
0,1864.0,1926.0,"R. MARIA DA LUZ ROQUEMBAUER, 1028",SÍTIO CERCADO,CURITIBA,Bairro Novo,00365/2011,SMDS,06-01-2011,2011-01-06,23:02:00,NÃO,,,Alagamento,2020-05-18,100,88a831acc7fffff,BAIRRO NOVO,"POLYGON ((-49.27455781428023 -25.537638448045946, -49.270405175714615 -25.534930506545987, -49.27126354011573 -25.53040181434035, -49.27627444225334 -25.52858115114508, -49.2804269592526 -25.53128917959227, -49.27956869568991 -25.535817784277132, -49.27455781428023 -25.537638448045946))"
1,146.0,148.0,"R. CIDADE DE XAXIM, 333",SÍTIO CERCADO,CURITIBA,Bairro Novo,22908/2014,SMDS,25-11-2014,2014-11-25,20:08:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,162.0,164.0,"R. CORONEL JOAQUIM DE AZEVEDO, 26",SÍTIO CERCADO,CURITIBA,Bairro Novo,22593/2009,SMDS,28-11-2009,2009-11-28,11:02:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,505.0,519.0,"R. DA LUA, 155",SÍTIO CERCADO,CURITIBA,Bairro Novo,18219/2012,SMDS,02-12-2012,2012-12-02,20:17:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1101.0,1143.0,"R. PLUTÃO, 23",SÍTIO CERCADO,CURITIBA,Bairro Novo,05743/2012,SMDS,08-04-2012,2012-04-08,16:41:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1166.0,1211.0,"AV. DO CANAL, 3",SÍTIO CERCADO,CURITIBA,Bairro Novo,04803/2014,SMDS,08-03-2014,2014-03-08,20:10:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
1,1439.0,1493.0,"R. SEBASTIÃO LIMA, 5190",BOQUEIRÃO,CURITIBA,Boqueirao,02564/2011,SMDS,03-02-2011,2011-02-03,16:30:00,NÃO,,,Alagamento,2020-03-11,100,88a831ace1fffff,BAIRRO NOVO,"POLYGON ((-49.256230009114155 -25.535862749251187, -49.25207713942222 -25.533154104928954, -49.25293570538865 -25.528625237916636, -49.257947040292265 -25.526805102580354, -49.262099788677496 -25.529513833789196, -49.26124132347513 -25.53404261343732, -49.256230009114155 -25.535862749251187))"
